State,County,Avg Commute
FL,Palm Beach,24.7
FL,Pasco,30
FL,Pinellas,23
FL,Polk,25.4
FL,Putnam,28.7
FL,Santa Rosa,28.1
FL,Sarasota,21.6
FL,Seminole,25.7
FL,St. Johns,25.8
FL,St. Lucie,28
FL,Sumter,24
FL,Suwannee,26.8
FL,Taylor,23.3
FL,Union,23.8
FL,Volusia,24.7
FL,Wakulla,29
FL,Walton,27.2
FL,Washington,30
GA,Appling,23.4
GA,Atkinson,22.5
GA,Bacon,23.8
GA,Baker,27.2
GA,Baldwin,19.2
GA,Banks,26.9
GA,Barrow,31.7
GA,Bartow,28
GA,Ben Hill,20.2
GA,Berrien,23.6
GA,Bibb,20.8
GA,Bleckley,22.8
GA,Brantley,30.1
GA,Brooks,22.8
GA,Bryan,28
GA,Bulloch,21.6
GA,Burke,30
GA,Butts,30.2
GA,Calhoun,20.1
GA,Camden,21.5
GA,Candler,22.7
GA,Carroll,28.7
GA,Catoosa,22.8
GA,Charlton,31.8
GA,Chatham,20.7
GA,Chattahoochee,15.6
GA,Chattooga,22.4
GA,Cherokee,33.3
GA,Clarke,18.6
GA,Clay,21.2
GA,Clayton,30.5
GA,Clinch,19
GA,Cobb,29.7
GA,Coffee,19.6
GA,Colquitt,22
GA,Columbia,23.7
GA,Cook,23
GA,Coweta,30.8
GA,Crawford,29.1
GA,Crisp,19.1
GA,Dade,27.4
GA,Dawson,31.9
GA,Decatur,21.4
GA,DeKalb,30.7
GA,Dodge,25.2
GA,Dooly,19
GA,Dougherty,18
GA,Douglas,32.9
GA,Early,19.4
GA,Echols,28.7
GA,Effingham,29.1
GA,Elbert,20
GA,Emanuel,22.9
GA,Evans,23.1
GA,Fannin,26.7
GA,Fayette,29.7
GA,Floyd,22.3
GA,Forsyth,29.9
GA,Franklin,22.3
GA,Fulton,27.1
GA,Gilmer,28.1
GA,Glascock,32.4
GA,Glynn,19.1
GA,Gordon,23.7
GA,Grady,27.4
GA,Greene,25.5
GA,Gwinnett,32.5
GA,Habersham,22.3
GA,Hall,25.9
GA,Hancock,26.5
GA,Haralson,27.6
GA,Harris,26.7
GA,Hart,22.6
GA,Heard,36.2
GA,Henry,33
GA,Houston,20.6
GA,Irwin,22.9
GA,Jackson,26.8
GA,Jasper,35.9
GA,Jeff Davis,22.4
GA,Jefferson,21.9
GA,Jenkins,25
GA,Johnson,29
GA,Jones,24.4
GA,Lamar,25.3
GA,Lanier,23.2
GA,Laurens,21.4
GA,Lee,20.1
GA,Liberty,21.2
GA,Lincoln,35.1
GA,Long,26.4
GA,Lowndes,17
GA,Lumpkin,30.5
GA,Macon,22
GA,Madison,23.5
GA,Marion,26.4
GA,McDuffie,23.7
GA,McIntosh,25.7
GA,Meriwether,29.7
GA,Miller,19.8
GA,Mitchell,19.8
GA,Monroe,27.8
GA,Montgomery,23.2
GA,Morgan,25.3
GA,Murray,23.8
GA,Muscogee,18.6
GA,Newton,31.5
GA,Oconee,21.7
GA,Oglethorpe,26.2
GA,Paulding,38.9
GA,Peach,22.6
GA,Pickens,30.9
GA,Pierce,22.6
GA,Pike,31.7
GA,Polk,26.9
GA,Pulaski,22.5
GA,Putnam,26.7
GA,Quitman,19.7
GA,Rabun,21.3
GA,Randolph,18.9
GA,Richmond,19.5
GA,Rockdale,32.6
GA,Schley,30.9
GA,Screven,28.5
GA,Seminole,23.8
GA,Spalding,28.2
GA,Stephens,21.2
GA,Stewart,29
GA,Sumter,18
GA,Talbot,28.4
GA,Taliaferro,30.3
GA,Tattnall,24.8
GA,Taylor,25.9
GA,Telfair,22
GA,Terrell,20.2
GA,Thomas,19.9
GA,Tift,16.2
GA,Toombs,21.7
GA,Towns,24
GA,Treutlen,22.3
GA,Troup,20.5
GA,Turner,22
GA,Twiggs,27.8
GA,Union,24.1
GA,Upson,24
GA,Walker,25.7
GA,Walton,32
GA,Ware,22.1
GA,Warren,22.6
GA,Washington,21.4
GA,Wayne,25.7
GA,Webster,24
GA,Wheeler,19.5
GA,White,29.7
GA,Whitfield,19.5
GA,Wilcox,23.8
GA,Wilkes,22.7
GA,Wilkinson,24.4
GA,Worth,25.6
HI,Hawaii,26.3
HI,Honolulu,27
HI,Kalawao,6.2
HI,Kauai,19.9
HI,Maui,20.8
ID,Ada,19.3
ID,Adams,18.3
ID,Bannock,17.7
ID,Bear Lake,20.9
ID,Benewah,17.1
ID,Bingham,20.2
ID,Blaine,17.8
ID,Boise,36.5
ID,Bonner,23.9
ID,Bonneville,20.1
ID,Boundary,17.7
ID,Butte,19.7
ID,Camas,28.1
ID,Canyon,24.5
ID,Caribou,17.6
ID,Cassia,16.1
ID,Clark,16.8
ID,Clearwater,23.5
ID,Custer,23
ID,Elmore,17.9
ID,Franklin,22.7
ID,Fremont,21
ID,Gem,31.4
ID,Gooding,21.8
ID,Idaho,21.1
ID,Jefferson,26
ID,Jerome,16.8
ID,Kootenai,21.4
ID,Latah,18.3
ID,Lemhi,14.5
ID,Lewis,20.5
ID,Lincoln,31.1
ID,Madison,15.2
ID,Minidoka,17.3
ID,Nez Perce,15.7
ID,Oneida,21.2
ID,Owyhee,26
ID,Payette,21.2
ID,Power,17.1
ID,Shoshone,18.5
ID,Teton,24.6
ID,Twin Falls,15.7
ID,Valley,14.5
ID,Washington,21.8
IL,Adams,16.6
IL,Alexander,26.7
IL,Bond,24.5
IL,Boone,31.6
IL,Brown,16.2
IL,Bureau,19.6
IL,Calhoun,37
IL,Carroll,25.2
IL,Cass,24.4
IL,Champaign,16.9
IL,Christian,25.2
IL,Clark,22.7
IL,Clay,19
IL,Clinton,25.2
IL,Coles,16.8
IL,Cook,31.8
IL,Crawford,17.7
IL,Cumberland,23.7
IL,De Witt,22.1
IL,DeKalb,25.2
IL,Douglas,20.4
IL,DuPage,29.1
IL,Edgar,21.5
IL,Edwards,21.4
IL,Effingham,17.7
IL,Fayette,23.5
IL,Ford,22.4
IL,Franklin,23.2
IL,Fulton,26.6
IL,Gallatin,26.9
IL,Greene,28.5
IL,Grundy,28.7
IL,Hamilton,24.3
IL,Hancock,22.6
IL,Hardin,26.2
IL,Henderson,24.9
IL,Henry,21.9
IL,Iroquois,24.6
IL,Jackson,17.1
IL,Jasper,23.8
IL,Jefferson,20.2
IL,Jersey,29.5
IL,Jo Daviess,20.3
IL,Johnson,25.6
IL,Kane,29
IL,Kankakee,23.3
IL,Kendall,34.1
IL,Knox,19.8
IL,Lake,30.4
IL,LaSalle,22.3
IL,Lawrence,22.3
IL,Lee,21.4
IL,Livingston,20.2
IL,Logan,20.8
IL,Macon,17.6
IL,Macoupin,27.9
IL,Madison,24.3
IL,Marion,22.5
IL,Marshall,27
IL,Mason,27
IL,Massac,19.9
IL,McDonough,15.1
IL,McHenry,33.7
IL,McLean,17.3
IL,Menard,27.5
IL,Mercer,27.4
IL,Monroe,28.8
IL,Montgomery,23.4
IL,Morgan,19
IL,Moultrie,20.5
IL,Ogle,24.4
IL,Peoria,19
IL,Perry,24.5
IL,Piatt,22.2
IL,Pike,21.5
IL,Pope,32.8
IL,Pulaski,26
IL,Putnam,22.3
IL,Randolph,23.9
IL,Richland,17.8
IL,Rock Island,18.5
IL,Saline,22
IL,Sangamon,18.9
IL,Schuyler,22.6
IL,Scott,25.3
IL,Shelby,23.3
IL,St. Clair,23.2
IL,Stark,25.3
IL,Stephenson,19.7
IL,Tazewell,20.7
IL,Union,22.8
IL,Vermilion,19.7
IL,Wabash,19.6
IL,Warren,19.3
IL,Washington,24.8
IL,Wayne,20.4
IL,White,26
IL,Whiteside,19.6
IL,Will,33.6
IL,Williamson,20.4
IL,Winnebago,21.9
IL,Woodford,22.8
IN,Adams,21.8
IN,Allen,20.4
IN,Bartholomew,19.8
IN,Benton,25
IN,Blackford,23.9
IN,Boone,23.6
IN,Brown,35.2
IN,Carroll,26
IN,Cass,19.9
IN,Clark,22.5
IN,Clay,25.7
IN,Clinton,21.9
IN,Crawford,34.2
IN,Daviess,22.6
IN,Dearborn,28.1
IN,Decatur,21.1
IN,DeKalb,20.7
IN,Delaware,19.2
IN,Dubois,18.7
IN,Elkhart,18.8
IN,Fayette,24
IN,Floyd,22.5
IN,Fountain,27.2
IN,Franklin,28.5
IN,Fulton,23.2
IN,Gibson,22.9
IN,Grant,19.3
IN,Greene,28.7
IN,Hamilton,25.4
IN,Hancock,27.5
IN,Harrison,29.9
IN,Hendricks,25.9
IN,Henry,26.5
IN,Howard,19.2
IN,Huntington,21
IN,Jackson,19.8
IN,Jasper,27.1
IN,Jay,21.9
IN,Jefferson,20.8
IN,Jennings,25.3
IN,Johnson,25.7
IN,Knox,18.7
IN,Kosciusko,19.6
IN,LaGrange,21.9
IN,Lake,27.7
IN,LaPorte,21.4
IN,Lawrence,25.2
IN,Madison,25.5
IN,Marion,22.2
IN,Marshall,21.7
IN,Martin,24.6
IN,Miami,22.3
IN,Monroe,18.3
IN,Montgomery,20
IN,Morgan,28.7
IN,Newton,28.2
IN,Noble,22.6
IN,Ohio,31
IN,Orange,26.3
IN,Owen,31.2
IN,Parke,25.2
IN,Perry,23.1
IN,Pike,26
IN,Porter,26.5
IN,Posey,24
IN,Pulaski,21.2
IN,Putnam,26.6
IN,Randolph,22.6
IN,Ripley,25.3
IN,Rush,26.4
IN,Scott,24.8
IN,Shelby,24.4
IN,Spencer,27.3
IN,St. Joseph,19.8
IN,Starke,29.3
IN,Steuben,20.9
IN,Sullivan,25.1
IN,Switzerland,30.6
IN,Tippecanoe,17.4
IN,Tipton,23.9
IN,Union,26.5
IN,Vanderburgh,18.4
IN,Vermillion,23.8
IN,Vigo,19.5
IN,Wabash,19.9
IN,Warren,23.9
IN,Warrick,22.8
IN,Washington,28.2
IN,Wayne,19.9
IN,Wells,21.9
IN,White,22.7
IN,Whitley,23.6
IA,Adair,21
IA,Adams,20.2
IA,Allamakee,19.5
IA,Appanoose,19.8
IA,Audubon,19.3
IA,Benton,25.4
IA,Black Hawk,15.8
IA,Boone,20.7
IA,Bremer,18.3
IA,Buchanan,22.9
IA,Buena Vista,14.2
IA,Butler,23.3
IA,Calhoun,19.9
IA,Carroll,13
IA,Cass,17.9
IA,Cedar,24
IA,Cerro Gordo,15.3
IA,Cherokee,14
IA,Chickasaw,19.8
IA,Clarke,21.2
IA,Clay,14.8
IA,Clayton,21.5
IA,Clinton,18.2
IA,Crawford,14.7
IA,Dallas,20.8
IA,Davis,23.5
IA,Decatur,21.2
IA,Delaware,21
IA,Des Moines,16
IA,Dickinson,16.6
IA,Dubuque,16.5
IA,Emmet,17
IA,Fayette,20.5
IA,Floyd,19.8
IA,Franklin,18.4
IA,Fremont,22.5
IA,Greene,18.5
IA,Grundy,19.2
IA,Guthrie,27
IA,Hamilton,16.3
IA,Hancock,17.6
IA,Hardin,16.4
IA,Harrison,27.2
IA,Henry,18.5
IA,Howard,16.5
IA,Humboldt,16.9
IA,Ida,14.9
IA,Iowa,21.4
IA,Jackson,22.3
IA,Jasper,21.8
IA,Jefferson,13.1
IA,Johnson,17.7
IA,Jones,23.7
IA,Keokuk,26.4
IA,Kossuth,15.5
IA,Lee,17.5
IA,Linn,18.1
IA,Louisa,21.6
IA,Lucas,25.4
IA,Lyon,19
IA,Madison,29
IA,Mahaska,17.7
IA,Marion,19.9
IA,Marshall,16.9
IA,Mills,23.4
IA,Mitchell,16
IA,Monona,21.7
IA,Monroe,23.7
IA,Montgomery,20.6
IA,Muscatine,17
IA,O'Brien,16.5
IA,Osceola,16.7
IA,Page,16.1
IA,Palo Alto,17.6
IA,Plymouth,18.1
IA,Pocahontas,17.4
IA,Polk,18.6
IA,Pottawattamie,20.2
IA,Poweshiek,18
IA,Ringgold,19.5
IA,Sac,17.8
IA,Scott,18.2
IA,Shelby,17.6
IA,Sioux,12.3
IA,Story,17.7
IA,Tama,21.6
IA,Taylor,20.3
IA,Union,13.7
IA,Van Buren,21.5
IA,Wapello,17.3
IA,Warren,24.2
IA,Washington,20.8
IA,Wayne,25.2
IA,Webster,15.4
IA,Winnebago,13.9
IA,Winneshiek,16.9
IA,Woodbury,17
IA,Worth,20.7
IA,Wright,14.6
KS,Allen,16.8
KS,Anderson,25.8
KS,Atchison,18.9
KS,Barber,15.3
KS,Barton,15.3
KS,Bourbon,17.9
KS,Brown,17.5
KS,Butler,22
KS,Chase,19
KS,Chautauqua,25.9
KS,Cherokee,20
KS,Cheyenne,14.4
KS,Clark,14.4
KS,Clay,20.4
KS,Cloud,14.9
KS,Coffey,21
KS,Comanche,10
KS,Cowley,18.8
KS,Crawford,17
KS,Decatur,14.8
KS,Dickinson,20.4
KS,Doniphan,21.1
KS,Douglas,19.6
KS,Edwards,20.3
KS,Elk,30.5
KS,Ellis,13.4
KS,Ellsworth,18
KS,Finney,14.4
KS,Ford,13.5
KS,Franklin,23.8
KS,Geary,16.3
KS,Gove,13.4
KS,Graham,15.4
KS,Grant,11.8
KS,Gray,15.2
KS,Greeley,8.8
KS,Greenwood,27.7
KS,Hamilton,10.6
KS,Harper,16.4
KS,Harvey,17.9
KS,Haskell,13.5
KS,Hodgeman,18.1
KS,Jackson,24.7
KS,Jefferson,28.8
KS,Jewell,16.7
KS,Johnson,20.2
KS,Kearny,14.1
KS,Kingman,28.3
KS,Kiowa,15.1
KS,Labette,15.3
KS,Lane,13.3
KS,Leavenworth,22.5
KS,Lincoln,20.7
KS,Linn,34.2
KS,Logan,12.7
KS,Lyon,16.9
KS,Marion,19.9
KS,Marshall,16.4
KS,McPherson,13.9
KS,Meade,16.5
KS,Miami,29.8
KS,Mitchell,10.1
KS,Montgomery,15.8
KS,Morris,22.7
KS,Morton,14.6
KS,Nemaha,14
KS,Neosho,14.7
KS,Ness,11.8
KS,Norton,9.5
KS,Osage,28.3
KS,Osborne,15.2
KS,Ottawa,23.9
KS,Pawnee,14.9
KS,Phillips,12.5
KS,Pottawatomie,22.6
KS,Pratt,14.3
KS,Rawlins,14.1
KS,Reno,17.2
KS,Republic,14.9
KS,Rice,19.8
KS,Riley,16
KS,Rooks,15
KS,Rush,17.7
KS,Russell,14.8
KS,Saline,14.9
KS,Scott,17.1
KS,Sedgwick,18.1
KS,Seward,14.1
KS,Shawnee,18.3
KS,Sheridan,11
KS,Sherman,9.8
KS,Smith,14.9
KS,Stafford,18.9
KS,Stanton,12.2
KS,Stevens,18.5
KS,Sumner,23
KS,Thomas,12.2
KS,Trego,11.9
KS,Wabaunsee,28.5
KS,Wallace,12.6
KS,Washington,17.4
KS,Wichita,14
KS,Wilson,16.1
KS,Woodson,27.7
KS,Wyandotte,21.1
KY,Adair,23.1
KY,Allen,26.8
KY,Anderson,27.4
KY,Ballard,20.9
KY,Barren,19.5
KY,Bath,27.2
KY,Bell,21.5
KY,Boone,24.1
KY,Bourbon,21.5
KY,Boyd,19.5
KY,Boyle,20.9
KY,Bracken,30.8
KY,Breathitt,25.4
KY,Breckinridge,31.5
KY,Bullitt,27.4
KY,Butler,28.9
KY,Caldwell,20.9
KY,Calloway,17.3
KY,Campbell,21.9
KY,Carlisle,25.7
KY,Carroll,19.3
KY,Carter,30.3
KY,Casey,29.4
KY,Christian,18.1
KY,Clark,22.5
KY,Clay,21.8
KY,Clinton,17.3
KY,Crittenden,30.7
KY,Cumberland,20.7
KY,Daviess,17.8
KY,Edmonson,32.4
KY,Elliott,32.7
KY,Estill,33.1
KY,Fayette,19.7
KY,Fleming,26.4
KY,Floyd,23.1
KY,Franklin,18.1
KY,Fulton,17.8
KY,Gallatin,27
KY,Garrard,28.3
KY,Grant,28.9
KY,Graves,22.7
KY,Grayson,27.6
KY,Green,27.6
KY,Greenup,22.3
KY,Hancock,21.4
KY,Hardin,20.8
KY,Harlan,23.6
KY,Harrison,24.2
KY,Hart,25.9
KY,Henderson,20.6
KY,Henry,27.7
KY,Hickman,18.8
KY,Hopkins,20
KY,Jackson,35
KY,Jefferson,21.3
KY,Jessamine,23.1
KY,Johnson,24.6
KY,Kenton,22.3
KY,Knott,26
KY,Knox,21.2
KY,Larue,26
KY,Laurel,21.7
KY,Lawrence,28.8
KY,Lee,26.4
KY,Leslie,27.8
KY,Letcher,25.5
KY,Lewis,28.7
KY,Lincoln,27.9
KY,Livingston,27.4
KY,Logan,21.9
KY,Lyon,20.9
KY,Madison,22.5
KY,Magoffin,30.3
KY,Marion,21.2
KY,Marshall,21.3
KY,Martin,27
KY,Mason,23
KY,McCracken,17.7
KY,McCreary,23.8
KY,McLean,27.5
KY,Meade,30.3
KY,Menifee,35.3
KY,Mercer,24.6
KY,Metcalfe,22.6
KY,Monroe,20.6
KY,Montgomery,24.1
KY,Morgan,28.2
KY,Muhlenberg,24.4
KY,Nelson,25.6
KY,Nicholas,30.9
KY,Ohio,23.1
KY,Oldham,25.8
KY,Owen,30.4
KY,Owsley,18.2
KY,Pendleton,33.7
KY,Perry,21.8
KY,Pike,23.6
KY,Powell,29.8
KY,Pulaski,22.4
KY,Robertson,44.2
KY,Rockcastle,29.3
KY,Rowan,22.9
KY,Russell,19.2
KY,Scott,21.5
KY,Shelby,24.7
KY,Simpson,18.3
KY,Spencer,32.3
KY,Taylor,18.8
KY,Todd,24.7
KY,Trigg,24.2
KY,Trimble,30.4
KY,Union,22.5
KY,Warren,19
KY,Washington,30
KY,Wayne,26.1
KY,Webster,24
KY,Whitley,21.5
KY,Wolfe,27.1
KY,Woodford,21
LA,Acadia Parish,28.9
LA,Allen Parish,28.9
LA,Ascension Parish,26.9
LA,Assumption Parish,32
LA,Avoyelles Parish,31.2
LA,Beauregard Parish,31.4
LA,Bienville Parish,30
LA,Bossier Parish,20.4
LA,Caddo Parish,19.5
LA,Calcasieu Parish,20.2
LA,Caldwell Parish,36.8
LA,Cameron Parish,29
LA,Catahoula Parish,40.1
LA,Claiborne Parish,29.7
LA,Concordia Parish,27.5
LA,De Soto Parish,28.6
LA,East Baton Rouge Parish,23.3
LA,East Carroll Parish,15.8
LA,East Feliciana Parish,30.4
LA,Evangeline Parish,33.3
LA,Franklin Parish,34.5
LA,Grant Parish,30
LA,Iberia Parish,22.6
LA,Iberville Parish,25.4
LA,Jackson Parish,26.2
LA,Jefferson Davis Parish,32
LA,Jefferson Parish,23.7
LA,La Salle Parish,38.4
LA,Lafayette Parish,22.1
LA,Lafourche Parish,26.5
LA,Lincoln Parish,19.6
LA,Livingston Parish,34.8
LA,Madison Parish,17.2
LA,Morehouse Parish,22.2
LA,Natchitoches Parish,24.6
LA,Orleans Parish,23.1
LA,Ouachita Parish,20.3
LA,Plaquemines Parish,23.5
LA,Pointe Coupee Parish,30.3
LA,Rapides Parish,21.5
LA,Red River Parish,29.9
LA,Richland Parish,23.1
LA,Sabine Parish,31.6
LA,St. Bernard Parish,24.3
LA,St. Charles Parish,27.8
LA,St. Helena Parish,37.6
LA,St. James Parish,24
LA,St. John the Baptist Parish,26.6
LA,St. Landry Parish,27.2
LA,St. Martin Parish,28.8
LA,St. Mary Parish,22.6
LA,St. Tammany Parish,31.6
LA,Tangipahoa Parish,30.4
LA,Tensas Parish,20.8
LA,Terrebonne Parish,24.4
LA,Union Parish,29.9
LA,Vermilion Parish,28
LA,Vernon Parish,20.8
LA,Washington Parish,31.3
LA,Webster Parish,25.8
LA,West Baton Rouge Parish,23.8
LA,West Carroll Parish,23.6
LA,West Feliciana Parish,28.2
LA,Winn Parish,30.8
ME,Androscoggin,22.9
ME,Aroostook,16.7
ME,Cumberland,21.9
ME,Franklin,23.4
ME,Hancock,22.6
ME,Kennebec,22.4
ME,Knox,18.8
ME,Lincoln,23.9
ME,Oxford,27
ME,Penobscot,21.5
